nom,type,niveau,image_url
Potion d'oubli : Invocation de Chaferfu,Potion d'oubli de sort,Niv. 50,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/43039.w40h40.png
Potion d'oubli : Invocation d'Arakne,Potion d'oubli de sort,Niv. 50,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/43039.w40h40.png
Potion de Croque-mort,Potion de conquête,Niv. 50,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/14068.w40h40.png
Potion d'invocation de Percepteur,Potion de conquête,Niv. 50,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/164023.w40h40.png
Parchemin Doré,Parchemin d'expérience,Niv. 50,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171982.w40h40.png
Cawotte pouwwite,Objet utilisable,Niv. 40,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/94031.w40h40.png
Pain aux Noix,Pain,Niv. 40,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33014.w40h40.png
Pain des Champs,Pain,Niv. 40,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33068.w40h40.png
Potion Raide Boule,Potion,Niv. 40,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12141.w40h40.png
Abragland,Objet utilisable,Niv. 33,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/94015.w40h40.png
Blopisier empoisonné,Pain,Niv. 30,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33406.w40h40.png
Moumoules frites,Viande comestible,Niv. 30,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69135.w40h40.png
Parchemin d'Ivoire,Parchemin d'expérience,Niv. 25,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171983.w40h40.png
Nisitik Miditik,Objet utilisable,Niv. 21,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/94009.w40h40.png
Cawotte Maudite,Objet utilisable,Niv. 21,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/94006.w40h40.png
Fiole de Soin supérieure,Potion,Niv. 20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12039.w40h40.png
Pain aux Graines de Sésame,Pain,Niv. 20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33011.w40h40.png
Potion Pahoa Raide,Potion,Niv. 20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12140.w40h40.png
Cervelle de vampire,Objet utilisable,Niv. 20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/15492.w40h40.png
Pain aux Grains de Poivre,Pain,Niv. 20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33010.w40h40.png
Pain aux Graines de Lin,Pain,Niv. 20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33012.w40h40.png
Pain aux Noisettes,Pain,Niv. 20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33018.w40h40.png
Pain au Blé Complet,Pain,Niv. 20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33007.w40h40.png
Briochette,Pain,Niv. 20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33015.w40h40.png
Briochette magique,Pain,Niv. 20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33008.w40h40.png
Pain de Seigle,Pain,Niv. 20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33009.w40h40.png
Brioche à la viande de bouftou,Pain,Niv. 20,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33071.w40h40.png
Grande Fée d'Artifice Rouge Virevoltante,Fée d'artifice,Niv. 15,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74028.w40h40.png
Grande Fée d'Artifice Multicolore Virevoltante,Fée d'artifice,Niv. 15,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74030.w40h40.png
Grande Fée d'Artifice Verte Virevoltante,Fée d'artifice,Niv. 15,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74026.w40h40.png
Grande Fée d'Artifice Bleue Virevoltante,Fée d'artifice,Niv. 15,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74029.w40h40.png
Grande Fée d'Artifice Jaune Virevoltante,Fée d'artifice,Niv. 15,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74027.w40h40.png
Fée d'Artifice Multicolore Virevoltante,Fée d'artifice,Niv. 14,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74030.w40h40.png
Fée d'Artifice Verte Virevoltante,Fée d'artifice,Niv. 14,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74026.w40h40.png
Fée d'Artifice Bleue Virevoltante,Fée d'artifice,Niv. 14,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74029.w40h40.png
Fée d'Artifice Rouge Virevoltante,Fée d'artifice,Niv. 14,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74028.w40h40.png
Fée d'Artifice Jaune Virevoltante,Fée d'artifice,Niv. 14,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74027.w40h40.png
Petite Fée d'Artifice Verte Virevoltante,Fée d'artifice,Niv. 13,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74026.w40h40.png
Petite Fée d'Artifice Jaune Virevoltante,Fée d'artifice,Niv. 13,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74027.w40h40.png
Petite Fée d'Artifice Bleue  Virevoltante,Fée d'artifice,Niv. 13,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74029.w40h40.png
Petite Fée d'Artifice Rouge Virevoltante,Fée d'artifice,Niv. 13,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74028.w40h40.png
Petite Fée d'Artifice Multicolore Virevoltante,Fée d'artifice,Niv. 13,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74030.w40h40.png
Grande Fée d'Artifice Rouge Crépitante,Fée d'artifice,Niv. 12,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74028.w40h40.png
Grande Fée d'Artifice Verte Crépitante,Fée d'artifice,Niv. 12,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74026.w40h40.png
Grande Fée d'Artifice Multicolore Crépitante,Fée d'artifice,Niv. 12,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74030.w40h40.png
Grande Fée d'Artifice Bleue Crépitante,Fée d'artifice,Niv. 12,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74029.w40h40.png
Grande Fée d'Artifice Jaune Crépitante,Fée d'artifice,Niv. 12,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74027.w40h40.png
Fée d'Artifice Rouge Crépitante,Fée d'artifice,Niv. 11,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74028.w40h40.png
Fée d'Artifice Bleue Crépitante,Fée d'artifice,Niv. 11,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74029.w40h40.png
Fée d'Artifice Verte Crépitante,Fée d'artifice,Niv. 11,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74026.w40h40.png
Fée d'Artifice Jaune Crépitante,Fée d'artifice,Niv. 11,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74027.w40h40.png
Fée d'Artifice Multicolore Crépitante,Fée d'artifice,Niv. 11,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74030.w40h40.png
Fiole de Soin,Potion,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12003.w40h40.png
Petite Fée d'Artifice Multicolore Crépitante,Fée d'artifice,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74030.w40h40.png
Parchemin vierge,Parchemin de recherche,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/87001.w40h40.png
Potion de Relai de diligence,Potion de téléportation,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12742.w40h40.png
Essence de Pwak,Potion Cosmétique,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171255.w40h40.png
Potion Ghetto Raide,Potion,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/12018.w40h40.png
Pain des Villes,Pain,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33069.w40h40.png
Lot de dix parchemins vierges,Parchemin de recherche,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/87003.w40h40.png
Ordre d'exécution.,Parchemin de recherche,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/87002.w40h40.png
Gaufrette Dorée,Pain,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/170740.w40h40.png
Potion de Rappel Astrubienne,Potion de téléportation,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/172463.w40h40.png
Pain Doré,Pain,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33019.w40h40.png
Parchemin lié,Parchemin de recherche,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/87002.w40h40.png
Lot de cinquante parchemins vierges,Parchemin de recherche,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/87003.w40h40.png
Essence martiale,Potion Cosmétique,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/171255.w40h40.png
Pain aux Flocons d'Avoine,Pain,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33005.w40h40.png
Pain de Seigle Résistant,Pain,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33009.w40h40.png
Petite Fée d'Artifice Bleue Crépitante,Fée d'artifice,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74029.w40h40.png
Petite Fée d'Artifice Jaune Crépitante,Fée d'artifice,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74027.w40h40.png
Pain aux Flocons d'Avoine Aurifère,Pain,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/33005.w40h40.png
Petite Fée d'Artifice Rouge Crépitante,Fée d'artifice,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74028.w40h40.png
Petite Fée d'Artifice Verte Crépitante,Fée d'artifice,Niv. 10,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74026.w40h40.png
Grande Fée d'Artifice Verte Fontaine,Fée d'artifice,Niv. 9,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74026.w40h40.png
Grande Fée d'Artifice Jaune Fontaine,Fée d'artifice,Niv. 9,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74027.w40h40.png
Grande Fée d'Artifice Multicolore Fontaine,Fée d'artifice,Niv. 9,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74030.w40h40.png
Grande Fée d'Artifice Bleue Fontaine,Fée d'artifice,Niv. 9,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74029.w40h40.png
Grande Fée d'Artifice Rouge Fontaine,Fée d'artifice,Niv. 9,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74028.w40h40.png
Fée d'Artifice Verte Fontaine,Fée d'artifice,Niv. 8,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74026.w40h40.png
Fée d'Artifice Bleue Fontaine,Fée d'artifice,Niv. 8,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74029.w40h40.png
Fée d'Artifice Multicolore Fontaine,Fée d'artifice,Niv. 8,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74030.w40h40.png
Fée d'Artifice Rouge Fontaine,Fée d'artifice,Niv. 8,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74028.w40h40.png
Fée d'Artifice Jaune Fontaine,Fée d'artifice,Niv. 8,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74027.w40h40.png
Petite Fée d'Artifice Rouge Fontaine,Fée d'artifice,Niv. 7,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74028.w40h40.png
Petite Fée d'Artifice Bleue Fontaine,Fée d'artifice,Niv. 7,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74029.w40h40.png
Petite Fée d'Artifice Verte Fontaine,Fée d'artifice,Niv. 7,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74026.w40h40.png
Petite Fée d'Artifice Multicolore Fontaine,Fée d'artifice,Niv. 7,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74030.w40h40.png
Petite Fée d'Artifice Jaune Fontaine,Fée d'artifice,Niv. 7,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74027.w40h40.png
Grande Fée d'Artifice Jaune Tournoyante,Fée d'artifice,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74027.w40h40.png
Potion d'oubli Percepteur : Rocher,Potion d'oubli Percepteur,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/86001.w40h40.png
Potion d'oubli Percepteur : Mot Soignant,Potion d'oubli Percepteur,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/86001.w40h40.png
Potion d'oubli Percepteur : Désenvoutement,Potion d'oubli Percepteur,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/86001.w40h40.png
Potion d'oubli Percepteur : Nombre de percepteur,Potion d'oubli Percepteur,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/86001.w40h40.png
Potion d'oubli Percepteur : Prospection,Potion d'oubli Percepteur,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/86001.w40h40.png
Potion d'oubli Percepteur : Bouclier Protecteur,Potion d'oubli Percepteur,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/86001.w40h40.png
Grande Fée d'Artifice Multicolore Tournoyante,Fée d'artifice,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74030.w40h40.png
Potion d'oubli Percepteur : Compulsion de masse,Potion d'oubli Percepteur,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/86001.w40h40.png
Potion d'oubli Percepteur : Puissance,Potion d'oubli Percepteur,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/86001.w40h40.png
Grande Fée d'Artifice Bleue Tournoyante,Fée d'artifice,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74029.w40h40.png
Potion d'oubli Percepteur : Flamme,Potion d'oubli Percepteur,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/86001.w40h40.png
Potion d'oubli Percepteur : Pods,Potion d'oubli Percepteur,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/86001.w40h40.png
Grande Fée d'Artifice Rouge Tournoyante,Fée d'artifice,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74028.w40h40.png
Potion d'oubli Percepteur : Cyclone,Potion d'oubli Percepteur,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/86001.w40h40.png
Grande Fée d'Artifice Verte Tournoyante,Fée d'artifice,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74026.w40h40.png
Potion d'oubli Percepteur : Vague,Potion d'oubli Percepteur,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/86001.w40h40.png
Potion d'oubli Percepteur : Déstabilisation,Potion d'oubli Percepteur,Niv. 6,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/86001.w40h40.png
Fée d'Artifice Verte Tournoyante,Fée d'artifice,Niv. 5,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74026.w40h40.png
Gâtrool,Viande comestible,Niv. 5,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/69149.w40h40.png
Fée d'Artifice Bleue Tournoyante,Fée d'artifice,Niv. 5,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74029.w40h40.png
Fée d'Artifice Jaune Tournoyante,Fée d'artifice,Niv. 5,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74027.w40h40.png
Fée d'Artifice Multicolore Tournoyante,Fée d'artifice,Niv. 5,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74030.w40h40.png
Fée d'Artifice Rouge Tournoyante,Fée d'artifice,Niv. 5,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74028.w40h40.png
Petite Fée d'Artifice Bleue Tournoyante,Fée d'artifice,Niv. 4,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74029.w40h40.png
Petite Fée d'Artifice Jaune Tournoyante,Fée d'artifice,Niv. 4,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74027.w40h40.png
Petite Fée d'Artifice Rouge Tournoyante,Fée d'artifice,Niv. 4,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74028.w40h40.png
Petite Fée d'Artifice Verte Tournoyante,Fée d'artifice,Niv. 4,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74026.w40h40.png
Petite Fée d'Artifice Multicolore Tournoyante,Fée d'artifice,Niv. 4,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74030.w40h40.png
Grande Fée d'Artifice Rouge,Fée d'artifice,Niv. 3,https://static.ankama.com/dofus-touch/www/img/../../../dofus-touch/www/game/items/52/74028.w40h40.png
